,developer_group_id,developer_group_name,developer_group_address,region_id,region_name,startDate,endDate,total_living_floor_size,appt_num,object_count,total_living_floor_size_pct,typed_volume_pct,rating
0,1331499001,Группа Эталон,"г.Санкт-Петербург, 197348, г. Санкт-Петербург, пр-кт Богатырский, д. 2",1,Итого,2017-12-18,2019-03-29,1010944,17645,37,0.7421029994425771,0.0,10
1,1331499001,Группа Эталон,"г.Санкт-Петербург, 197348, г. Санкт-Петербург, пр-кт Богатырский, д. 2",1768,Московская область,2017-12-18,2019-03-29,127133,3231,6,0.7744477385295137,0.0,22
2,1331499001,Группа Эталон,"г.Санкт-Петербург, 197348, г. Санкт-Петербург, пр-кт Богатырский, д. 2",1762,г. Москва,2017-12-18,2019-03-29,399084,6133,14,2.137545736662554,0.0,9
3,1331499001,Группа Эталон,"г.Санкт-Петербург, 197348, г. Санкт-Петербург, пр-кт Богатырский, д. 2",1324,г. Санкт-Петербург,2017-12-18,2019-03-29,484727,8281,17,3.219778528508332,0.0,5
4,2949362001,Группа компаний Капитал Инвест НСК,"Новосибирская область, 630033, г. Новосибирск, ул. Аникина, д. 35",1,Итого,2018-01-28,2019-02-26,82812,1490,4,0.060789750559713196,0.0,314
5,2949362001,Группа компаний Капитал Инвест НСК,"Новосибирская область, 630033, г. Новосибирск, ул. Аникина, д. 35",1545,Новосибирская область,2018-01-28,2019-02-26,82812,1490,4,2.2623342868546557,0.0,13
6,2969305001,ИнвестРайСтройЗаказчик,"Республика Башкортостан, 453128, г. Стерлитамак, ул. Хвойная, д. 2А",1,Итого,2017-06-09,2019-03-18,50073,1008,5,0.036757054288949896,100.0,546
7,2969305001,ИнвестРайСтройЗаказчик,"Республика Башкортостан, 453128, г. Стерлитамак, ул. Хвойная, д. 2А",1213,Республика Башкортостан,2017-06-09,2019-03-18,50073,1008,5,1.1348485044218364,100.0,23
8,6016778001,Ост-Дизайн,"Пермский край, 614990, г. Пермь, ул. Героев Хасана, д. 7, корп. А, оф. 135",1,Итого,2017-06-09,2019-04-02,30417,714,3,0.022328187252750764,0.0,822
9,6016778001,Ост-Дизайн,"Пермский край, 614990, г. Пермь, ул. Героев Хасана, д. 7, корп. А, оф. 135",1212,Пермский край,2017-06-09,2019-04-02,30417,714,3,1.8386306472291787,0.0,16
10,5797858001,Строительная компания Вертикаль-НСК,"Новосибирская область, 630120, г. Новосибирск, ул. Связистов, д. 17, оф. 301",1,Итого,2018-10-12,2019-02-27,20891,526,6,0.015335442676701063,100.0,1098
11,5797858001,Строительная компания Вертикаль-НСК,"Новосибирская область, 630120, г. Новосибирск, ул. Связистов, д. 17, оф. 301",1545,Новосибирская область,2018-10-12,2019-02-27,20891,526,6,0.5707195284098996,100.0,48
12,8326769001,МС-БРЯНСК,"Брянская область, 241020, г. Брянск, пер. Московский, д. 3А, оф. помещение 4",1,Итого,2019-03-18,2019-03-18,13811,208,1,0.010138231717386356,100.0,1461
13,8326769001,МС-БРЯНСК,"Брянская область, 241020, г. Брянск, пер. Московский, д. 3А, оф. помещение 4",1759,Брянская область,2019-03-18,2019-03-18,13811,208,1,1.1179574187009969,100.0,18
14,5756501001,Строительная компания ЭЛРИ,"Самарская область, 443031, г. Самара, ул. Ташкентская, д. 248Б",1,Итого,2019-03-04,2019-03-07,13852,210,2,0.010168328560512332,100.0,1459
